date,franchise_level,benchmark_spy_level,interval_snapshot,interval_rebalance_date,interval_end_date,approved_weight_pct,priced_approved_weight_pct,unresolved_weight_pct,approved_holdings_count,priced_approved_holdings_count,unresolved_holdings_count
2007-12-31,99.9999999999998,100,2007-12-31,2007-12-31,2008-06-30,86.84000000000006,86.84000000000006,13.36,52,52,8
2008-01-02,98.0702708161021,99.12456467685519,2007-12-31,2007-12-31,2008-06-30,86.84000000000006,86.84000000000006,13.36,52,52,8
2008-01-03,95.67320453216963,99.076674341891,2007-12-31,2007-12-31,2008-06-30,86.84000000000006,86.84000000000006,13.36,52,52,8
2008-01-04,92.76227350777609,96.64863435920816,2007-12-31,2007-12-31,2008-06-30,86.84000000000006,86.84000000000006,13.36,52,52,8
2008-01-07,94.3059576017951,96.56664610574953,2007-12-31,2007-12-31,2008-06-30,86.84000000000006,86.84000000000006,13.36,52,52,8
2008-01-08,91.16247303111737,95.00724101864658,2007-12-31,2007-12-31,2008-06-30,86.84000000000006,86.84000000000006,13.36,52,52,8
2008-01-09,91.83451373947854,96.0057545026493,2007-12-31,2007-12-31,2008-06-30,86.84000000000006,86.84000000000006,13.36,52,52,8
2008-01-10,92.30480285028074,96.63503350407834,2007-12-31,2007-12-31,2008-06-30,86.84000000000006,86.84000000000006,13.36,52,52,8
2008-01-11,89.44696529568769,95.85528307019192,2007-12-31,2007-12-31,2008-06-30,86.84000000000006,86.84000000000006,13.36,52,52,8
2008-01-14,89.13823544997875,96.6281372958435,2007-12-31,2007-12-31,2008-06-30,86.84000000000006,86.84000000000006,13.36,52,52,8
2008-01-15,86.4120923472933,94.50104017807543,2007-12-31,2007-12-31,2008-06-30,86.84000000000006,86.84000000000006,13.36,52,52,8
2008-01-16,87.57004053315431,93.68719182569451,2007-12-31,2007-12-31,2008-06-30,86.84000000000006,86.84000000000006,13.36,52,52,8
2008-01-17,86.36184712187325,91.25915184301167,2007-12-31,2007-12-31,2008-06-30,86.84000000000006,86.84000000000006,13.36,52,52,8
2008-01-18,86.04766580673233,90.32212954910293,2007-12-31,2007-12-31,2008-06-30,86.84000000000006,86.84000000000006,13.36,52,52,8
2008-01-22,86.20203837362584,89.40570009922878,2007-12-31,2007-12-31,2008-06-30,86.84000000000006,86.84000000000006,13.36,52,52,8
